osEntrezA,osEntrezB
20430,74006
83767,26556
21960,26556
54401,26556
14810,19047
11771,20430
20430,13823
20430,13175
20430,71770
20430,81702
76884,72993
268934,245684
20616,20430
20616,245684
53321,76884
223666,245684
53321,20430
18039,50884
18039,20430
18039,245684
18747,14810
13405,20648
14026,94090
14580,22631
19047,606496
20430,170731
20430,72685
16500,20430
12343,20430
26562,26556
76884,245537
20430,26562
20430,55992
19155,20430
20430,26554
83814,110355
13800,94090
18750,108071
18643,13800
11789,27373
11771,76884
11764,20430
20907,14810
14810,18749
14810,14694
14810,19339
14810,22628
13405,243621
19045,11789
13629,26554
14828,22631
20907,56491
20907,19047
53413,14810
14394,245537
14810,20418
14394,216856
14394,268566
18641,22631
56216,56491
18039,22631
18412,76614
18412,26554
107831,140580
19047,22631
22631,11465
22631,18749
22631,13800
22631,77579
22631,55992
22631,71770
22631,67160
14810,211446
11772,20616
22631,66049
18412,68653
20512,22631
14394,26422
14394,18189
22333,76614
22333,18674
22333,227197
22628,19045
19045,22333
19324,56454
216344,13629
19349,19045
11740,22333
11931,27360
19338,56491
19045,13527
13800,19045
20648,13527
20648,13405
20648,12034
20648,22631
11931,11771
22631,74006
74006,54401
19339,18673
22629,56443
22629,13885
22629,212139
18673,19342
19339,65114
19342,56454
19342,65114
14694,22629
22631,22333
15505,74006
22333,66075
12034,19342
12034,19339
12034,11931
19045,230908
19045,22284
11931,22042
83814,54401
12343,22631
20648,13527
83814,22628
22631,14026
22631,18574
11931,68349
19338,19045
19338,13629
19324,65114
14678,19045
17850,19045
19344,19045
14768,19045
19045,227197
13405,67160
11465,20977
22629,30960
22629,192662
216344,19046
11931,67160
11739,19045
59069,22333
18674,19045
20648,11363
20648,22628
19342,20014
22629,27406
19339,20014
11771,50884
16898,59007
216440,12891
20648,13177
20648,68349
21838,20977
22629,68349
22629,223601
11931,68653
19045,68349
19324,20014
94044,19045
14806,14806
14104,14104
20907,20907
18412,18412
15469,15469
26556,26556
30960,30960
16485,16485
14658,268566
245684,245684
268566,268566
16500,16490
14828,12282
12298,12298
12032,21960
13176,13176
242274,245684
245537,18189
27062,27062
14828,14828
11771,13854
13854,11773
13854,11772
216856,18190
108071,19047
268566,13800
23980,18752
18643,268566
216856,99470
192167,99470
14402,11773
20977,19339
20616,11772
53321,12805
16500,20907
11771,20616
20907,27062
14658,18643
22284,13854
108071,26556
56455,268566
56455,103967
11771,103967
22284,67839
14679,83767
12349,56455
